Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,17/08/13,Arsenal,Aston Villa,1,3,A,1,1,D
E0,17/08/13,Liverpool,Stoke,1,0,H,1,0,H
E0,17/08/13,Norwich,Everton,2,2,D,0,0,D
E0,17/08/13,Sunderland,Fulham,0,1,A,0,0,D
E0,17/08/13,Swansea,Man United,1,4,A,0,2,A
E0,17/08/13,West Brom,Southampton,0,1,A,0,0,D
E0,17/08/13,West Ham,Cardiff,2,0,H,1,0,H
E0,18/08/13,Chelsea,Hull,2,0,H,2,0,H
E0,18/08/13,Crystal Palace,Tottenham,0,1,A,0,0,D
E0,19/08/13,Man City,Newcastle,4,0,H,2,0,H
E0,21/08/13,Chelsea,Aston Villa,2,1,H,1,1,D
E0,24/08/13,Aston Villa,Liverpool,0,1,A,0,1,A
E0,24/08/13,Everton,West Brom,0,0,D,0,0,D
E0,24/08/13,Fulham,Arsenal,1,3,A,0,2,A
E0,24/08/13,Hull,Norwich,1,0,H,1,0,H
E0,24/08/13,Newcastle,West Ham,0,0,D,0,0,D
E0,24/08/13,Southampton,Sunderland,1,1,D,0,1,A
E0,24/08/13,Stoke,Crystal Palace,2,1,H,0,1,A
E0,25/08/13,Cardiff,Man City,3,2,H,0,0,D
E0,25/08/13,Tottenham,Swansea,1,0,H,0,0,D
E0,26/08/13,Man United,Chelsea,0,0,D,0,0,D
