Div,Date,HomeTeam,FTHG,FTR,HTHG,HTAG,HTR
E0,17/08/13,Arsenal,1,A,1,1,D
E0,17/08/13,Liverpool,1,H,1,0,H
E0,17/08/13,Norwich,2,D,0,0,D
E0,17/08/13,Sunderland,0,A,0,0,D
E0,17/08/13,Swansea,1,A,0,2,A
E0,17/08/13,West Brom,0,A,0,0,D
E0,17/08/13,West Ham,2,H,1,0,H
E0,18/08/13,Chelsea,2,H,2,0,H
E0,18/08/13,Crystal Palace,0,A,0,0,D
E0,19/08/13,Man City,4,H,2,0,H
E0,21/08/13,Chelsea,2,H,1,1,D
E0,24/08/13,Aston Villa,0,A,0,1,A
E0,24/08/13,Everton,0,D,0,0,D
E0,24/08/13,Fulham,1,A,0,2,A
E0,24/08/13,Hull,1,H,1,0,H
E0,26/08/13,Man United,0,D,0,0,D
